"x" "y" "grp" "srtm_56_04" "ruggedness" "Occ_1200" "row_id"
-164790.325768971 4829565.24440289 7692 1777.9765625 37.4917577107747 0.58652607 208
-162790.325768971 4829565.24440289 7694 1888.41015625 45.0182183583577 0.58652607 209
-160790.325768971 4829565.24440289 7695 1975.9375 47.0018310546875 0.58652607 210
-158790.325768971 4829565.24440289 7697 1937.8984375 39.851632754008 0.58652607 211
-156790.325768971 4829565.24440289 7699 1848.74609375 37.6379397710164 0.58652607 212
-154790.325768971 4829565.24440289 7701 1775.41015625 33.2705132166545 0.58652607 213
-152790.325768971 4829565.24440289 7529 1913.19140625 57.5332260131836 0.751596044 214
-150790.325768971 4829565.24440289 7530 1886.09375 60.5612545013428 0.751596044 215
-148790.325768971 4829565.24440289 7532 1905.0078125 70.1804447174072 0.751596044 216
-146790.325768971 4829565.24440289 7534 1722.359375 63.196795463562 0.751596044 217
-144790.325768971 4829565.24440289 7536 1564.015625 45.0583028793335 0.751596044 218
-142790.325768971 4829565.24440289 7538 1425.70703125 28.4381527900696 0.751596044 219
-140790.325768971 4829565.24440289 7540 1343.390625 16.15545129776 0.751596044 220
-138790.325768971 4829565.24440289 7368 1265.39453125 7.41053926944733 0.751596044 221
-136790.325768971 4829565.24440289 7370 1235.71484375 6.98509848117828 0.751596044 222
-134790.325768971 4829565.24440289 7372 1179.33203125 5.83203017711639 0.751596044 223
-132790.325768971 4829565.24440289 7375 1147.67578125 6.45433902740479 0.6787954545 224
-130790.325768971 4829565.24440289 7377 1116.4453125 6.22175657749176 0.605994865 225
-128790.325768971 4829565.24440289 7379 1085.62109375 4.93796503543854 0.605994865 226
-126790.325768971 4829565.24440289 7380 1085.1875 5.58477795124054 0.605994865 227
-124790.325768971 4829565.24440289 7382 1132.34765625 7.02790105342865 0.605994865 228
-122790.325768971 4829565.24440289 7226 1227.07421875 20.1005945205688 0.605994865 229
-120790.325768971 4829565.24440289 7228 1356.0546875 30.6862463951111 0.605994865 230
-118790.325768971 4829565.24440289 7230 1474.90625 39.1894860267639 0.605994865 231
-116790.325768971 4829565.24440289 7232 1559.828125 50.8493499755859 0.605994865 232
-114790.325768971 4829565.24440289 7233 1554 50.4470310211182 0.605994865 233
